x_left,x_right,x_center,PsSource_low_density,Native_Geant4_low_density,GATE_low_density,PsSource_middle_density,Native_Geant4_middle_density,GATE_middle_density,PsSource_high_density,Native_Geant4_high_density,GATE_high_density
0.6375000000,0.6500000000,0.6437500000,0.4128,0.4064,0.420094241674,3.5368,3.424,3.44541170833,0,0,0
0.6500000000,0.6625000000,0.6562500000,0.1808,0.1912,0.198865905279,3.7464,3.7304,3.70337832441,0,0,0
0.6625000000,0.6750000000,0.6687500000,0.0096,0.016,0.0111812155579,3.9328,3.948,3.93259324335,0.0456,0.0448,0.0567047360434
0.6750000000,0.6875000000,0.6812500000,0,0,0,3.868,3.8528,3.78883475761,0.248,0.2864,0.267550515135
0.6875000000,0.7000000000,0.6937500000,0,0,0,3.592,3.6792,3.67622394377,0.4896,0.4432,0.484785560259
0.7000000000,0.7125000000,0.7062500000,0,0,0,3.5104,3.628,3.52447887549,0.6616,0.6896,0.665282325693
0.7125000000,0.7250000000,0.7187500000,0,0,0,3.3472,3.3248,3.37433112371,0.9224,0.8928,0.907275776695
0.7250000000,0.7375000000,0.7312500000,0,0,0,3.2552,3.2328,3.21699544765,1.1384,1.1352,1.07978595959
0.7375000000,0.7500000000,0.7437500000,0,0,0,3.0464,3.1224,2.99576711125,1.2944,1.3624,1.40244389426
0.7500000000,0.7625000000,0.7562500000,0,0,0,2.8832,2.9224,2.88714958869,1.5312,1.5448,1.50467215079
0.7625000000,0.7750000000,0.7687500000,0,0,0,2.7104,2.8248,2.7825253574,1.7136,1.7544,1.85608178261
0.7750000000,0.7875000000,0.7812500000,0,0,0,2.6712,2.5512,2.65394137848,2.008,1.9584,2.02699464899
0.7875000000,0.8000000000,0.7937500000,0,0,0,2.4928,2.444,2.48462582861,2.292,2.2192,2.21388068046
0.8000000000,0.8125000000,0.8062500000,0,0,0,2.2976,2.236,2.27617602428,2.3832,2.408,2.40555866145
0.8125000000,0.8250000000,0.8187500000,0,0,0,2.132,2.112,2.11085376567,2.7568,2.6208,2.66512259404
0.8250000000,0.8375000000,0.8312500000,0,0,0,1.9608,1.944,1.89761201182,2.7728,2.8584,2.86558581583
0.8375000000,0.8500000000,0.8437500000,0,0,0,1.8248,1.7496,1.86247104864,3.0808,3.0984,3.15310278732
0.8500000000,0.8625000000,0.8562500000,0,0,0,1.6776,1.6968,1.72989377845,3.32,3.244,3.20900886511
0.8625000000,0.8750000000,0.8687500000,0,0,0,1.4944,1.4696,1.49668556825,3.5344,3.58,3.45499560738
0.8750000000,0.8875000000,0.8812500000,0,0,0,1.4176,1.4008,1.40483986902,3.7112,3.6736,3.76727098475
0.8875000000,0.9000000000,0.8937500000,0,0,0,1.24,1.2144,1.28983308042,4.0424,3.9808,3.94057982589
0.9000000000,0.9125000000,0.9062500000,0,0,0,1.06,1.1144,1.10134973245,4.2296,4.3328,4.35109016852
0.9125000000,0.9250000000,0.9187500000,0,0,0,0.9512,0.9496,0.908074434949,4.4816,4.5208,4.4924526795
0.9250000000,0.9375000000,0.9312500000,0,0,0,0.8,0.7656,0.781886430796,4.7048,4.8176,4.77198306845
0.9375000000,0.9500000000,0.9437500000,0,0,0,0.6136,0.6424,0.630141362511,4.9704,5.048,5.04192955834
0.9500000000,0.9625000000,0.9562500000,0,0,0,0.4944,0.5096,0.498362750579,5.3424,5.3264,5.20166120917
0.9625000000,0.9750000000,0.9687500000,0,0,0,0.3576,0.38,0.357000239597,5.7048,5.5344,5.62894337513
0.9750000000,0.9875000000,0.9812500000,0,0,0,0.2112,0.2056,0.223624311157,6.072,6.0336,6.01150067886
0.9875000000,1.0000000000,0.9937500000,0,0,0,0.064,0.0816,0.0614966855682,6.548,6.5912,6.57375608977
