x_left,x_right,x_center,PsSource_density,Native_Geant4_density,GATE_density
0.0000000000,0.0125000000,0.0062500000,0.00986666666667,0.0141333333333,0.01224609323
0.0125000000,0.0250000000,0.0187500000,0.0392,0.0370666666667,0.0335436466736
0.0250000000,0.0375000000,0.0312500000,0.056,0.0565333333333,0.0606980273141
0.0375000000,0.0500000000,0.0437500000,0.0842666666667,0.0978666666667,0.0923781380614
0.0500000000,0.0625000000,0.0562500000,0.118666666667,0.114133333333,0.101163378857
0.0625000000,0.0750000000,0.0687500000,0.130933333333,0.1272,0.130181295424
0.0750000000,0.0875000000,0.0812500000,0.1472,0.162933333333,0.163724942097
0.0875000000,0.1000000000,0.0937500000,0.18,0.179733333333,0.182626520778
0.1000000000,0.1125000000,0.1062500000,0.203733333333,0.202933333333,0.209248462583
0.1125000000,0.1250000000,0.1187500000,0.237333333333,0.243466666667,0.239065037404
0.1250000000,0.1375000000,0.1312500000,0.273333333333,0.2544,0.260628810265
0.1375000000,0.1500000000,0.1437500000,0.2848,0.2832,0.288049410324
0.1500000000,0.1625000000,0.1562500000,0.303733333333,0.309866666667,0.2994968453
0.1625000000,0.1750000000,0.1687500000,0.3296,0.3256,0.330644517211
0.1750000000,0.1875000000,0.1812500000,0.3768,0.358666666667,0.353006948327
0.1875000000,0.2000000000,0.1937500000,0.3848,0.3808,0.398264249394
0.2000000000,0.2125000000,0.2062500000,0.417333333333,0.408266666667,0.414503633895
0.2125000000,0.2250000000,0.2187500000,0.4248,0.4352,0.431807896068
0.2250000000,0.2375000000,0.2312500000,0.462933333333,0.466933333333,0.479461171898
0.2375000000,0.2500000000,0.2437500000,0.495466666667,0.475733333333,0.478662513644
0.2500000000,0.2625000000,0.2562500000,0.498133333333,0.5016,0.512206160317
0.2625000000,0.2750000000,0.2687500000,0.512,0.5448,0.545749806991
0.2750000000,0.2875000000,0.2812500000,0.571733333333,0.5528,0.545483587573
0.2875000000,0.3000000000,0.2937500000,0.588533333333,0.589333333333,0.579559673083
0.3000000000,0.3125000000,0.3062500000,0.585066666667,0.6272,0.616297952773
0.3125000000,0.3250000000,0.3187500000,0.6552,0.633866666667,0.652770013045
0.3250000000,0.3375000000,0.3312500000,0.704266666667,0.684533333333,0.685248782046
0.3375000000,0.3500000000,0.3437500000,0.712,0.680533333333,0.696429997604
0.3500000000,0.3625000000,0.3562500000,0.715733333333,0.737333333333,0.714000479195
0.3625000000,0.3750000000,0.3687500000,0.764533333333,0.755733333333,0.742219737508
0.3750000000,0.3875000000,0.3812500000,0.770933333333,0.772,0.77869179778
0.3875000000,0.4000000000,0.3937500000,0.781066666667,0.791466666667,0.797593376461
0.4000000000,0.4125000000,0.4062500000,0.828266666667,0.838666666667,0.813300322125
0.4125000000,0.4250000000,0.4187500000,0.844266666667,0.844,0.825812634774
0.4250000000,0.4375000000,0.4312500000,0.8872,0.864266666667,0.865213108644
0.4375000000,0.4500000000,0.4437500000,0.884533333333,0.925066666667,0.918456992253
