label,input_path,event_count,photon_count,mean_x,std_x,min_x,q05_x,median_x,q95_x,max_x,mean_low_x,mean_mid_x,mean_high_x,se_low_x,se_mid_x,se_high_x,mean_abs_energy_error_MeV,max_abs_energy_error_MeV,support_violation_count
approximate,approximate/annihilation_gammas.csv,5000,15000,0.6666667285063242,0.23609757055524916,0.00838749277273466,0.2222490868131921,0.7077010627908336,0.9745749966805216,0.9999942269940086,0.38841297071158304,0.7238160732032813,0.887771141604107,0.002033819243703748,0.0014647496534972986,0.0011166597297316756,3.2268000005046816e-07,1.1000000001981647e-06,0
ore_powell,ore_powell/annihilation_gammas.csv,5000,15000,0.6666666131766723,0.23617833426511073,0.008927611299396995,0.22311317860829266,0.7066570293344048,0.9764920260599361,0.9999805283357237,0.3881515545188499,0.7211733652290295,0.8906749197821244,0.0019938526289131593,0.001457325721420172,0.001106273529277845,3.3020000002847993e-07,1.1000000001981647e-06,0
polarized,ore_powell_polarized/annihilation_gammas.csv,5000,15000,0.666666615785938,0.2362577676461557,0.005745608674929762,0.22539723418218377,0.7034623065272444,0.9762688357774513,0.99989050858128,0.3893774451004258,0.7189574499125683,0.8916649523448111,0.0020042713597631955,0.0014689334188759875,0.0011249233541746186,3.3204000002897694e-07,1.1000000001981647e-06,0
