r2_center,0.01000000,0.03000000,0.05000000,0.07000000,0.09000000,0.11000000,0.13000000,0.15000000,0.17000000,0.19000000,0.21000000,0.23000000,0.25000000,0.27000000,0.29000000,0.31000000,0.33000000,0.35000000,0.37000000,0.39000000,0.41000000,0.43000000,0.45000000,0.47000000,0.49000000,0.51000000,0.53000000,0.55000000,0.57000000,0.59000000,0.61000000,0.63000000,0.65000000,0.67000000,0.69000000,0.71000000,0.73000000,0.75000000,0.77000000,0.79000000,0.81000000,0.83000000,0.85000000,0.87000000,0.89000000,0.91000000,0.93000000,0.95000000,0.97000000,0.99000000
0.01000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9499999999999993
0.03000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.124999999999999,1.7999999999999985
0.05000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.075000000000005,1.7249999999999988,2.1249999999999982
0.07000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0749999999999988,1.850000000000008,1.7249999999999979,1.7749999999999981
0.09000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3249999999999984,2.3999999999999972,1.4500000000000064,1.7249999999999979,1.7749999999999981
0.11000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2249999999999994,2.549999999999999,1.8999999999999992,1.7500000000000089,2.0749999999999993,2.099999999999999
0.13000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0249999999999981,1.9999999999999964,2.3749999999999956,2.149999999999996,1.850000000000007,1.699999999999997,2.3249999999999957
0.15000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2749999999999995,2.149999999999999,2.3249999999999993,2.249999999999999,1.4999999999999991,2.4000000000000123,1.924999999999999,2.674999999999999
0.17000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6250000000000032,2.374999999999999,1.924999999999999,1.7499999999999991,1.7999999999999994,2.2249999999999988,2.02500000000001,1.924999999999999,2.124999999999999
0.19000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9499999999999983,2.150000000000008,1.8749999999999967,2.199999999999996,1.9249999999999965,1.4999999999999971,1.8999999999999966,1.8250000000000068,2.0249999999999964,1.649999999999997
0.21000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8999999999999997,2.6499999999999986,2.350000000000012,1.7499999999999991,2.299999999999999,1.6249999999999991,1.924999999999999,1.8999999999999992,1.97500000000001,2.024999999999999,2.449999999999999
0.23000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2749999999999995,1.924999999999999,1.9999999999999991,1.7250000000000087,1.9749999999999992,1.6249999999999991,1.9749999999999992,1.824999999999999,2.124999999999999,1.8000000000000094,2.174999999999999,2.149999999999999
